FACLID21	JURDID	STATE	COUNTY	FACLNAME	STRATUM	WEIGHT	CONFPOP	V19	NCONPOP	V21	TOTPOP	V23	NONCIT	V25	QWKNDR	WEEKNDR	V28	ADMALE	V30	ADFEML	V32	JUVMALE	V34	JUVFEML	V36	TOTGEND	V38	JUVADS	V40	CONVMALE	V42	CONVFML	V44	UNCONVML	V46	UNCONVFM	V48	TOTADCNV	V50	WHITE	V52	BLACK	V54	HISP	V56	AMINDALK	V58	ASIAN	V60	HAWPAC	V62	TWORACE	TWORACEF	RACESPEC	OTRACE	V65	RACEDK	RACEDKF	TOTRACE	V67	MARSHAL	V69	FBOP	V69F	ICE	V69I	BIA	V69B	OTRSPEC	OTRAUTH	V69OF	YOURST	V71	OTRST	V73	LOCSTATE	V75	LOCOTRST	V77	TOTAUTH	V79	ADMITS	V82	DSCGH	V85	PEAKDATE	DAYINMT	V87	ADP	V89	RATCAP	V91	ELECMON	V93	HOMDTN	V95	COMMSVC	V97	DAYRPTG	V99	PRETSUP	V101	WKPROG	V103	DRUGPROG	V105	PROGSPEC	OTRPROG	V108	TOTNONCF	V110	ADMLNCNF	V112	ADFMNCNF	V114	JVMLNCNF	V116	JVFMNCNF	V118	NCNFGNDR	V120	CONVNCNF	V122	UNCNVNCF	V124	TOTCNVST	V126	NCONPOP2
011033033061000000000	011033033	01	HALE COUNTY	HALE COUNTY JAIL	9	5.5377	56	0	0	0	56	0	0	0	2	0	0	53	0	3	0	0	0	0	0	56	0	0	0	0	0	0	0	53	0	3	0	56	0	12	0	44	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	56	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	30	56	0	50	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011035035061000000000	011035035	01	HOUSTON COUNTY	HOUSTON COUNTY JAIL	7	1.4136	510	0	0	0	510	0	24	1	1	2	1	419	0	85	0	6	0	0	0	510	0	6	0	71	1	40	1	354	1	45	1	510	0	189	1	296	1	24	1	0	1	0	1	0	1	1	1	 	0	1	0	1	510	0	0	1	1	0	16	1	0	1	 	0	1	48	1	0	0	0	1	0	1	65	1	94	1	110	1	22	542	0	496	1	368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
011037037060000000100	011037037	01	JEFFERSON COUNTY	JEFFERSON COUNTY	1	1	992	0	0	0	992	0	24	0	1	11	0	847	0	136	0	9	0	0	0	992	0	9	0	225	0	36	0	631	0	100	0	992	0	246	0	693	0	53	0	0	0	0	0	0	0	0	9	 	0	8	0	0	992	0	6	0	0	0	3	0	0	0	 	0	8	255	0	10	0	0	0	0	0	274	0	358	0	355	0	27	1017	0	976	0	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
011041041061000000000	011041041	01	LEE COUNTY	LEE COUNTY DETENTION CENTER	7	1.4136	357	0	0	0	357	0	2	0	1	12	0	316	0	35	0	5	0	1	0	357	0	6	0	179	0	14	0	142	0	22	0	357	0	128	0	214	0	13	0	0	0	2	0	0	0	0	0	 	0	1	0	0	357	0	6	0	0	0	0	0	0	0	 	0	0	43	0	0	0	0	0	0	0	49	0	131	0	132	0	20	380	0	348	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
011045045060000000200	011045045	01	MADISON COUNTY	MADISON COUNTY DETENTION FACILITY	1	1	999	0	0	8	999	0	36	0	2	0	0	852	0	141	0	4	0	2	0	999	0	0	0	155	1	10	1	701	1	133	1	999	0	404	1	559	1	36	1	0	1	0	1	0	1	0	1	 	0	1	0	1	999	0	0	1	0	1	0	1	0	1	 	0	1	0	1	0	1	0	1	0	1	0	1	398	1	390	1	27	1001	0	952	1	921	1	0	8	0	8	0	8	0	8	0	8	0	8	0	8	 	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0
011049049062000000000	011049049	01	MOBILE COUNTY	MOBILE COUNTY JAIL	1	1	1574	0	0	0	1574	0	0	9	1	7	0	1342	0	202	0	30	0	0	0	1574	0	30	0	0	9	0	9	0	9	0	9	1574	0	517	0	1034	0	0	1	0	1	0	1	0	1	0	1	 	0	1	23	1	1574	0	42	0	0	0	0	0	0	0	 	0	0	147	0	0	0	0	0	0	0	189	0	0	9	66	0	25	1589	0	1500	1	1164	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
011051051061000000000	011051051	01	MONTGOMERY COUNTY	MONTGOMERY COUNTY DETENTION FACILITY	1	1	656	0	0	0	656	0	0	9	1	2	0	600	0	56	0	0	0	0	0	656	0	0	8	78	0	5	0	522	0	51	0	656	0	138	0	518	0	0	1	0	1	0	1	0	1	0	1	 	0	1	0	1	656	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	109	0	105	0	19	668	0	630	0	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
011056056061000000000	011056056	01	RANDOLPH COUNTY	RANDOLPH COUNTY JAIL	9	5.5377	79	0	0	0	79	0	0	0	2	0	0	64	0	15	0	0	0	0	0	79	0	0	0	64	0	15	0	0	0	0	0	79	0	34	0	40	0	1	0	0	0	0	0	0	0	4	0	 	0	1	0	0	79	0	0	0	0	0	0	0	0	0	 	0	0	12	0	0	0	0	0	0	0	12	0	14	0	10	0	29	80	0	64	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011057057061000000000	011057057	01	RUSSELL COUNTY	RUSSELL COUNTY JAIL	2	2.4167	302	1	0	0	302	1	0	1	1	13	0	263	0	39	0	0	0	0	0	302	0	0	0	130	1	21	1	133	1	18	1	302	1	151	1	151	1	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	302	1	0	0	0	0	0	0	0	0	 	0	0	19	1	0	0	0	1	0	1	19	1	71	1	14	1	30	302	1	289	1	235	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
011061061061000000000	011061061	01	TALLEDEGA COUNTY	TALLEDEGA COUNTY JAIL	7	1.4136	286	0	0	0	286	0	0	0	2	0	0	241	0	44	0	1	0	0	0	286	0	1	0	54	0	8	0	188	0	36	0	286	0	152	0	131	0	3	0	0	0	0	0	0	0	0	0	 	0	0	0	0	286	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	83	0	124	0	09	330	0	293	0	125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011063063061000000000	011063063	01	TUSCALOOSA COUNTY	TUSCALOOSA COUNTY JAIL	1	1	676	0	36	0	712	0	0	9	2	0	0	600	1	74	1	2	0	0	0	676	0	2	0	0	9	0	9	0	9	0	9	676	0	304	1	362	1	10	1	0	0	0	0	0	0	0	0	 	0	0	0	0	676	0	0	0	0	0	0	0	0	0	 	0	0	32	0	2	0	0	0	0	0	34	0	317	1	308	1	25	690	0	662	0	542	1	0	0	0	0	0	0	0	0	34	0	2	0	0	0	 	0	0	36	9	31	1	5	0	0	0	0	0	36	0	2	0	34	0	36	0	36
011064064062000000000	011064064	01	WALKER COUNTY	WALKER COUNTY JAIL	8	2.7519	212	0	0	0	212	0	3	0	2	0	0	184	0	25	0	3	0	0	0	212	0	3	0	80	0	8	0	107	1	17	1	212	0	147	0	62	0	3	0	0	0	0	0	0	0	0	0	 	0	0	0	0	212	0	3	0	5	0	0	0	0	0	 	0	0	8	0	0	0	2	0	0	0	18	0	53	0	44	0	14	228	0	174	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011066066061000000000	011066066	01	WILCOX COUNTY	WILCOX COUNTY DETENTION CENTER	10	15.7	33	0	0	0	33	0	0	0	1	2	0	31	0	2	0	0	0	0	0	33	0	0	0	0	0	0	0	31	0	2	0	33	0	1	0	32	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	33	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	8	0	0	0	8	0	8	1	10	1	26	52	0	40	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
012025003061000000000	012025003	01	FORT PAYNE CITY	FORT PAYNE CITY JAIL	10	15.7	10	0	0	0	10	0	0	0	2	0	0	8	0	2	0	0	0	0	0	10	0	0	0	2	0	0	0	6	0	2	0	10	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	10	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	21	0	21	0	22	10	0	10	0	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
012035004061000000000	012035004	01	DOTHAN CITY	DOTHAN CITY JAIL	9	5.5377	84	0	0	0	84	0	2	1	1	5	0	71	0	13	0	0	0	0	0	84	0	0	0	44	0	6	0	27	0	7	0	84	0	30	0	53	0	1	0	0	0	0	0	0	0	0	0	 	0	0	0	0	84	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	126	1	83	1	28	90	0	62	0	124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
012036005061000000000	012036005	01	SCOTTSBORO CITY	SCOTTSBORO CITY JAIL	10	15.7	8	0	0	0	8	0	0	0	2	0	0	6	0	2	0	0	0	0	0	8	0	0	0	6	0	2	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	8	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	22	0	14	1	01	23	0	6	1	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
012037003061000000000	012037003	01	BIRMINGHAM CITY	BIRMINGHAM CITY JAIL	7	1.4136	148	0	0	0	148	0	0	0	1	0	0	127	0	21	0	0	0	0	0	148	0	0	0	54	0	9	0	73	0	12	0	148	0	37	0	111	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	148	0	0	0	0	0	0	0	0	0	 	0	0	4	0	0	0	0	0	0	0	4	0	444	0	541	0	21	175	0	136	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
012037801061000000000	012037801	01	HOOVER CITY	HOOVER CITY JAIL	9	5.5377	59	0	0	0	59	0	10	0	2	0	0	52	0	7	0	0	0	0	0	59	0	0	0	24	0	4	0	28	1	3	1	59	0	36	0	13	0	10	0	0	0	0	0	0	0	0	0	 	0	0	0	0	59	0	0	0	0	0	1	0	0	0	 	0	0	0	0	0	0	0	0	0	0	1	0	87	0	94	0	14	74	0	45	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
031003003061000000000	031003003	03	COCONINO COUNTY	COCONINO COUNTY JAIL	1	1	474	0	0	0	474	0	63	0	2	0	0	414	0	58	1	2	0	0	0	474	0	2	0	22	1	3	0	394	0	55	1	474	0	66	1	18	1	100	1	290	1	0	0	0	0	0	0	 	0	9	0	0	474	0	9	0	48	0	63	0	32	1	 	0	0	0	9	0	0	0	9	6	1	158	1	282	0	278	0	08	523	0	470	0	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
031004004061000000000	031004004	03	GILA COUNTY	GILA COUNTY JAIL	8	2.7519	142	0	0	0	142	0	0	0	1	6	0	117	0	25	0	0	0	0	0	142	0	0	0	13	0	6	0	104	0	19	0	142	0	128	0	1	0	11	0	2	0	0	0	0	0	0	0	 	0	0	0	0	142	0	0	0	0	0	0	0	0	0	 	0	0	3	0	1	0	7	0	2	0	13	0	70	0	68	0	18	151	0	141	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
031007007060000000700	031007007	03	MARICOPA COUNTY	MARICOPA COUNTY	1	1	8745	0	0	0	8745	0	0	9	1	604	0	7383	0	1189	0	156	0	17	0	8745	0	173	0	1785	0	455	0	5754	0	751	0	8745	0	3456	0	1301	0	3502	0	407	0	52	0	0	9	0	9	Other	27	0	0	9	8745	0	6	0	18	0	96	0	0	0	US Army	1	0	160	0	2	0	39	0	2	0	324	0	2585	0	2647	0	15	8906	0	9215	0	9395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604
031008008061000000000	031008008	03	MOHAVE COUNTY	MOHAVE COUNTY JAIL	2	2.4167	449	0	22	0	471	0	0	9	1	0	9	379	0	70	0	0	0	0	0	449	0	0	0	0	9	0	9	0	9	0	9	449	0	352	0	12	0	67	0	15	0	1	0	0	0	0	0	 	0	0	2	0	449	0	0	9	0	9	13	0	0	9	 	0	9	0	9	0	9	0	9	0	9	13	1	239	0	222	0	28	479	0	451	0	382	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0	 	0	0	22	0	17	0	5	0	0	0	0	0	22	0	0	0	22	0	22	0	22
031010010060000000800	031010010	03	PIMA COUNTY	PIMA COUNTY ADULT DETENTION CENTER	1	1	1841	0	0	0	1841	0	264	0	1	10	0	1546	0	252	0	39	0	4	0	1841	0	43	0	225	0	65	0	1360	0	191	0	1841	0	792	0	166	0	765	0	105	0	13	0	0	0	0	0	 	0	0	0	0	1841	0	15	0	0	0	173	0	0	9	 	0	9	57	0	0	9	9	0	2	0	256	0	867	0	849	0	28	1934	0	1888	0	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
031011011061000000000	031011011	03	PINAL COUNTY	PINAL COUNTY JAIL	1	1	1180	0	0	0	1180	0	515	0	2	0	0	887	0	293	0	0	0	0	0	1180	0	0	0	96	0	0	0	791	0	293	0	1180	0	348	1	72	1	641	1	71	1	0	1	29	1	0	1	Arab	5	1	14	1	1180	1	0	0	0	0	515	0	45	0	 	0	0	1	0	11	0	8	1	0	1	580	0	369	1	371	1	07	1284	0	1260	0	1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
031014014062000000000	031014014	03	YUMA COUNTY	YUMA COUNTY DETENTION CENTER	1	1	685	0	0	8	685	0	0	9	1	0	9	569	0	105	0	10	0	1	0	685	0	11	0	160	0	35	0	419	0	71	0	685	0	168	0	33	0	443	0	39	0	2	0	0	1	0	1	 	0	1	0	1	685	0	1	0	0	0	0	0	8	0	 	0	0	20	0	0	0	2	0	3	0	34	0	157	0	146	0	08	727	0	698	0	757	0	0	8	0	8	0	8	0	8	0	8	0	8	0	8	 	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0	8	0
041016016061000000000	041016016	04	CRAIGHEAD COUNTY	CRAIGHEAD COUNTY DETENTION CENTER	7	1.4136	339	0	0	0	339	0	0	9	2	0	0	253	0	54	0	27	0	5	0	339	0	0	0	0	9	0	9	0	9	0	9	339	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	 	0	9	339	0	339	0	0	9	0	9	0	9	0	9	 	0	9	0	9	0	9	0	9	0	9	0	0	0	9	0	9	04	339	0	348	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
041026026061000000000	041026026	04	GARLAND COUNTY	GARLAND COUNTY CRIMINAL DETENTION FACILITY	8	2.7519	224	0	0	0	224	0	0	0	1	4	0	180	0	44	0	0	0	0	0	224	0	0	0	33	0	5	0	147	0	39	0	224	0	169	0	53	0	2	0	0	0	0	0	0	0	0	0	 	0	0	0	0	224	0	0	0	0	0	0	0	0	0	 	0	1	32	0	0	0	6	0	0	0	38	0	172	0	168	0	22	244	0	235	1	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
041028028061000000000	041028028	04	GREENE COUNTY	GREENE COUNTY JAIL	8	2.7519	126	0	0	0	126	0	0	9	2	0	0	103	0	23	0	0	1	0	1	126	0	0	9	0	9	0	9	0	9	0	9	126	0	120	1	6	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	126	0	0	0	0	0	0	0	0	0	 	0	0	0	9	0	9	0	9	0	9	0	9	28	0	0	9	21	135	0	118	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
041035035061000000000	041035035	04	JEFFERSON COUNTY	W. C. DUB BRASSELL ADULT DETENTION FACILITY	12	1	269	0	0	0	269	0	1	0	1	1	0	243	0	26	0	0	0	0	0	269	0	0	0	10	0	0	0	233	0	26	0	269	0	54	0	212	0	3	0	0	0	0	0	0	0	0	0	 	0	1	0	1	269	0	34	0	0	0	0	0	0	0	 	0	0	112	0	0	0	5	0	13	0	164	0	4	0	8	0	01	271	0	250	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
041036036061000000000	041036036	04	JOHNSON COUNTY	JOHNSON COUNTY JAIL	10	15.7	72	0	1	0	73	0	2	0	2	0	0	63	0	9	0	0	0	0	0	72	0	0	0	10	0	1	0	53	1	8	1	72	0	52	0	13	0	7	0	0	0	0	0	0	0	0	0	 	0	0	0	0	72	0	0	0	0	0	2	0	0	0	 	0	0	6	0	0	0	0	0	0	0	8	0	54	0	50	0	14	91	0	73	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ADC bond	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
041046046061000000000	041046046	04	MILLER COUNTY	MILLER COUNTY JAIL	8	2.7519	250	0	0	0	250	0	0	9	2	0	0	205	0	45	0	0	0	0	0	250	0	0	0	0	9	0	9	0	9	0	9	250	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	 	0	9	250	0	250	0	0	9	0	9	0	9	0	9	 	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	05	250	1	266	1	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
041059059061000000000	041059059	04	PRAIRIE COUNTY	PRAIRIE COUNTY JAIL	10	15.7	19	0	0	0	19	0	0	0	2	0	0	16	0	3	0	0	0	0	0	19	0	0	0	7	0	0	0	9	0	3	0	19	0	9	0	10	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	19	0	0	9	0	9	0	9	0	9	 	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	17	22	0	20	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
